param T := 2519;
set ASSETS := AGG	DBC	DFE	DIA	DXJ	EEM	EFA	EWG	EWH	EWI	EWT	EWU	EWW	EWY	EWZ	EZU	FEZ	FXI	GDX	GLD	IAU	IBB	ITB	IVV	IWD	IWM	IYR	KBE	KRE	LQD	OIL	SDS	SH	SLV	SPY	USO	VGK	VNQ	VTI	VWO	XHB	XLB	XLE	XLF	XLI	XLK	XLP	XLU	XLV	XLY	XME	XOP;

param Ret:
	AGG	DBC	DFE	DIA	DXJ	EEM	EFA	EWG	EWH	EWI	EWT	EWU	EWW	EWY	EWZ	EZU	FEZ	FXI	GDX	GLD	IAU	IBB	ITB	IVV	IWD	IWM	IYR	KBE	KRE	LQD	OIL	SDS	SH	SLV	SPY	USO	VGK	VNQ	VTI	VWO	XHB	XLB	XLE	XLF	XLI	XLK	XLP	XLU	XLV	XLY	XME	XOP:=
11	0.000	0.015	0.007	0.000	0.010	0.018	0.012	0.014	0.018	0.014	0.004	0.011	0.013	0.003	0.024	0.014	0.012	0.015	0.015	0.012	0.014	0.004	0.014	0.003	0.005	0.004	0.009	0.001	0.001	-0.001	0.033	-0.005	-0.002	0.016	0.002	0.028	0.011	0.010	0.004	0.019	0.013	0.015	0.027	0.003	-0.001	0.000	0.002	0.000	0.000	0.000	0.027	0.030
12	0.001	0.001	-0.001	-0.006	-0.006	-0.001	-0.005	-0.011	0.006	-0.004	-0.011	-0.005	0.001	-0.010	0.003	-0.008	-0.010	0.006	-0.007	-0.004	-0.005	-0.004	-0.007	-0.004	-0.003	-0.007	-0.003	-0.001	-0.005	0.001	-0.014	0.009	0.005	0.005	-0.003	-0.013	-0.005	-0.008	-0.004	-0.001	-0.007	-0.010	-0.007	-0.001	-0.011	-0.007	-0.001	0.000	-0.006	-0.006	-0.007	-0.002
13	-0.002	0.032	0.002	0.005	0.009	0.023	0.009	0.007	0.007	0.008	0.015	0.008	0.019	0.012	0.027	0.008	0.008	0.018	0.049	0.024	0.024	-0.006	0.016	0.003	0.005	0.009	0.003	0.001	0.002	-0.003	0.041	-0.005	-0.002	0.030	0.003	0.041	0.006	0.005	0.003	0.017	0.017	0.013	0.026	-0.001	0.012	0.000	0.002	0.006	-0.005	0.004	0.035	0.029
14	0.000	-0.008	0.003	0.006	0.014	0.009	0.006	0.006	-0.008	0.007	0.021	0.006	0.018	0.022	0.008	0.005	0.007	0.015	0.012	0.002	0.002	0.008	0.012	0.007	0.007	0.011	0.014	0.003	0.008	0.000	0.008	-0.015	-0.008	-0.004	0.008	0.010	0.008	0.013	0.009	0.009	0.011	0.010	0.004	0.010	-0.003	0.018	0.004	0.003	0.008	0.004	0.013	0.004
15	-0.001	-0.009	-0.011	-0.009	-0.020	-0.031	-0.016	-0.011	-0.035	-0.013	-0.032	-0.015	-0.031	-0.026	-0.020	-0.014	-0.014	-0.053	-0.011	-0.004	-0.005	-0.017	-0.034	-0.011	-0.012	-0.013	0.006	-0.006	-0.013	-0.003	-0.017	0.022	0.011	0.004	-0.012	-0.018	-0.016	0.006	-0.011	-0.031	-0.024	-0.003	-0.021	-0.014	-0.005	-0.012	-0.006	-0.001	-0.003	-0.016	-0.004	-0.021
16	0.000	0.012	0.003	-0.002	0.007	0.006	0.002	0.001	0.004	0.002	-0.001	-0.003	0.004	0.004	0.009	0.003	0.003	0.008	0.002	0.001	0.002	-0.003	-0.011	-0.001	0.000	0.004	0.003	0.001	0.006	-0.001	0.021	0.004	0.002	0.008	-0.001	0.022	0.001	0.003	-0.001	0.006	-0.017	-0.001	0.002	0.002	-0.004	0.000	-0.003	-0.002	-0.006	-0.005	0.013	0.010
17	-0.001	-0.020	0.001	0.000	0.005	-0.013	0.001	0.004	0.001	-0.003	-0.014	0.000	-0.010	-0.009	-0.022	0.003	0.002	-0.018	-0.017	-0.005	-0.005	0.003	0.003	-0.001	0.000	0.009	0.003	-0.004	0.008	0.000	-0.027	0.002	0.001	-0.017	-0.001	-0.028	0.002	0.003	0.000	-0.008	0.005	-0.004	-0.005	-0.005	0.002	0.004	0.003	0.003	-0.001	0.003	-0.005	-0.001
18	0.002	0.028	0.003	0.003	0.002	0.016	0.007	0.014	0.013	0.002	0.005	0.003	0.020	0.009	0.012	0.009	0.010	0.030	0.011	0.007	0.006	0.005	0.000	0.005	0.007	0.005	0.003	0.003	0.007	0.001	0.053	-0.011	-0.006	0.015	0.005	0.053	0.007	0.005	0.006	0.011	0.000	0.003	0.020	0.004	-0.001	0.006	-0.001	0.003	0.005	0.003	0.020	0.024
19	0.001	0.011	0.006	0.009	-0.006	0.008	0.004	0.008	-0.015	0.009	0.000	0.002	0.016	-0.003	0.016	0.007	0.006	-0.028	0.016	0.009	0.008	-0.001	0.047	0.007	0.006	0.002	0.011	0.006	-0.001	0.004	0.022	-0.012	-0.006	0.014	0.007	0.019	0.006	0.008	0.007	0.007	0.036	0.006	0.006	0.008	0.013	0.006	0.004	0.003	0.005	0.011	0.012	0.006
20	-0.003	-0.004	0.006	0.004	0.017	0.012	0.008	0.008	0.019	-0.002	0.004	0.006	0.019	0.026	0.016	0.005	0.006	0.005	0.006	0.006	0.008	0.012	0.009	0.006	0.007	0.011	-0.001	0.008	0.008	-0.005	-0.011	-0.011	-0.006	0.006	0.006	-0.008	0.006	0.004	0.006	0.010	0.013	0.012	0.004	0.006	0.009	-0.004	0.004	0.008	0.008	0.004	0.019	0.004
21	0.001	0.013	0.006	-0.002	-0.002	-0.003	-0.002	-0.001	0.000	0.004	0.002	0.005	0.002	0.011	0.001	-0.002	-0.003	-0.004	-0.013	-0.014	-0.014	-0.007	0.033	0.001	0.003	0.001	0.007	0.002	0.006	0.001	0.031	-0.002	-0.001	-0.015	0.001	0.031	-0.002	0.002	0.001	-0.001	0.025	-0.002	0.006	0.002	0.004	0.005	0.002	0.005	-0.002	0.003	-0.007	0.002
22	0.002	-0.003	0.001	0.001	-0.011	0.001	-0.003	-0.004	0.001	-0.004	-0.002	-0.003	0.002	0.006	0.011	-0.003	-0.005	-0.004	0.004	0.000	-0.002	-0.007	-0.015	0.002	-0.001	0.000	-0.001	0.000	-0.005	0.001	-0.004	-0.001	0.000	0.004	0.000	-0.005	-0.003	0.000	0.001	0.000	-0.012	-0.004	-0.001	0.000	0.002	-0.003	-0.003	0.011	0.000	-0.003	-0.005	-0.005
23	0.002	-0.005	0.009	0.000	0.017	0.010	0.008	0.004	0.014	0.001	0.016	0.004	0.006	0.013	0.002	0.005	0.006	0.018	0.006	0.007	0.009	-0.001	0.000	-0.001	0.002	0.002	0.014	0.005	0.007	0.003	0.004	0.003	0.000	0.013	0.000	0.002	0.009	0.015	0.000	0.011	0.003	0.007	-0.003	0.005	0.000	-0.001	-0.001	0.005	-0.003	0.004	0.008	-0.005
24	0.001	-0.012	0.003	0.001	-0.004	-0.004	0.003	0.007	-0.004	0.010	-0.003	0.004	0.002	-0.006	-0.016	0.006	0.006	0.006	-0.011	-0.002	-0.003	0.008	-0.003	0.002	0.001	0.009	0.015	0.004	0.005	0.001	-0.022	-0.007	-0.001	-0.001	0.002	-0.020	0.003	0.021	0.003	-0.002	-0.006	0.000	-0.006	0.004	-0.001	0.005	-0.002	0.004	0.001	0.005	-0.006	0.002
25	0.001	0.023	-0.001	-0.003	-0.013	-0.005	-0.004	0.001	0.007	-0.005	-0.004	-0.007	0.007	-0.005	0.004	0.001	0.000	0.010	0.024	0.014	0.014	0.004	-0.026	-0.002	-0.001	-0.002	-0.008	-0.006	-0.001	0.001	0.033	0.002	0.001	0.012	-0.001	0.031	-0.003	-0.008	-0.001	0.002	-0.021	0.001	0.010	-0.003	-0.007	0.001	-0.002	0.002	-0.001	-0.002	-0.002	0.002
26	-0.002	0.006	-0.008	-0.005	0.003	-0.012	-0.004	-0.007	-0.012	-0.006	-0.013	-0.007	-0.018	-0.005	-0.015	-0.007	-0.007	-0.017	-0.004	0.009	0.009	-0.007	-0.022	-0.007	-0.005	-0.010	-0.014	-0.007	-0.010	-0.004	0.002	0.015	0.008	0.004	-0.007	0.005	-0.005	-0.012	-0.007	-0.017	-0.019	-0.005	-0.004	-0.011	-0.004	-0.011	-0.002	0.003	-0.003	-0.009	-0.017	0.000
27	-0.001	-0.019	0.000	-0.002	0.001	-0.007	-0.004	-0.004	0.004	-0.004	-0.008	0.000	0.000	-0.003	-0.013	-0.011	-0.007	0.003	-0.012	-0.007	-0.008	-0.001	-0.008	-0.003	-0.004	-0.002	-0.017	0.003	0.003	0.000	-0.031	0.004	0.004	-0.015	-0.003	-0.032	-0.006	-0.018	-0.004	-0.007	-0.002	0.004	-0.014	-0.002	0.002	-0.004	-0.002	-0.004	-0.004	-0.005	0.000	-0.015
28	0.000	0.018	0.006	0.008	0.021	0.016	0.013	0.012	-0.011	0.011	-0.001	0.006	0.018	0.012	0.031	0.019	0.016	0.003	0.016	0.003	0.003	0.004	0.010	0.008	0.010	0.008	0.018	0.009	0.007	-0.001	0.020	-0.015	-0.007	0.015	0.008	0.020	0.010	0.019	0.009	0.017	0.009	0.020	0.015	0.007	0.008	0.004	0.003	0.009	0.004	0.009	0.021	0.013
29	0.004	-0.014	0.012	0.007	0.017	0.022	0.014	0.016	0.008	0.015	0.026	0.011	0.019	0.016	0.008	0.014	0.010	0.001	0.016	0.008	0.008	0.007	0.011	0.007	0.006	0.001	-0.006	0.006	0.001	0.006	-0.020	-0.011	-0.007	0.016	0.007	-0.018	0.014	-0.007	0.007	0.018	0.009	0.006	0.000	0.010	0.015	0.014	0.006	0.007	0.006	0.005	0.006	0.000
30	0.001	0.000	0.002	0.002	0.004	0.001	0.001	0.001	0.002	-0.002	0.010	-0.002	-0.006	0.002	0.007	0.001	-0.001	0.000	0.008	0.001	0.002	-0.005	0.007	0.002	-0.001	0.000	0.008	0.001	0.001	0.002	0.000	-0.002	-0.001	-0.005	0.001	-0.002	0.000	0.007	0.000	0.000	0.009	0.005	-0.008	0.002	0.002	0.004	0.006	-0.009	0.005	0.003	0.010	-0.007
31	0.001	0.017	-0.003	-0.002	-0.003	0.002	0.000	0.000	0.000	0.003	0.001	-0.002	-0.001	0.008	0.002	-0.001	-0.002	0.007	-0.006	-0.001	-0.002	0.000	-0.001	0.000	0.000	0.005	-0.003	0.002	0.004	0.001	0.022	0.001	0.001	-0.004	0.000	0.021	-0.001	-0.003	0.001	-0.001	-0.003	-0.005	0.000	0.000	-0.004	-0.002	0.001	0.002	-0.004	-0.001	0.003	0.006
32	0.000	-0.011	0.010	0.001	0.002	0.003	0.001	0.006	0.003	-0.004	-0.004	0.006	0.000	0.003	0.000	0.004	0.002	0.003	-0.021	-0.016	-0.015	0.005	0.001	0.001	0.002	0.009	0.008	0.004	0.005	0.002	-0.015	-0.003	-0.002	-0.008	0.002	-0.014	0.001	0.008	0.003	0.005	0.004	0.008	-0.011	0.005	0.002	0.000	0.005	0.003	0.001	0.007	0.000	-0.008
33	0.000	0.021	-0.004	-0.002	-0.004	0.003	-0.005	-0.006	-0.004	-0.006	0.005	-0.012	0.003	0.003	0.002	-0.005	-0.005	0.007	0.037	0.030	0.031	0.000	-0.008	-0.001	-0.002	0.002	-0.005	-0.003	-0.003	-0.001	0.023	0.002	0.001	0.028	0.000	0.024	-0.006	-0.003	0.000	-0.002	-0.008	0.006	0.011	-0.004	0.003	-0.002	-0.006	-0.004	-0.005	-0.004	0.032	0.013
34	-0.002	0.014	0.006	-0.005	-0.001	-0.001	0.004	0.002	0.001	0.002	0.003	0.009	-0.003	0.005	0.004	0.002	0.003	0.000	0.006	-0.002	-0.001	-0.002	-0.016	-0.001	-0.001	0.004	-0.005	-0.001	0.002	-0.001	0.011	0.002	0.001	0.000	-0.001	0.009	0.003	-0.005	0.000	0.006	-0.015	0.000	0.009	-0.004	-0.003	0.005	-0.004	0.001	-0.001	-0.002	0.006	0.011
35	0.002	0.006	0.000	-0.003	0.009	-0.008	0.003	0.006	-0.008	-0.003	-0.014	0.003	-0.004	-0.002	-0.006	0.002	0.002	-0.024	0.001	0.008	0.007	-0.002	-0.020	-0.003	-0.004	-0.005	-0.014	-0.008	-0.005	0.003	0.004	0.007	0.004	0.025	-0.004	0.003	0.005	-0.017	-0.003	-0.004	-0.012	0.004	0.003	-0.009	-0.003	-0.001	0.001	0.012	-0.004	-0.002	0.000	0.004
36	0.002	0.003	0.004	-0.001	0.007	-0.001	0.001	0.003	0.000	0.010	-0.004	0.002	-0.025	-0.002	0.004	0.003	0.004	0.000	0.012	0.006	0.006	-0.001	0.005	-0.001	0.000	-0.002	-0.006	-0.004	-0.007	0.004	0.009	0.003	0.002	0.012	-0.001	0.009	0.001	-0.005	-0.001	-0.002	0.001	0.009	0.006	-0.007	-0.006	-0.003	0.000	0.024	0.004	-0.009	0.002	0.007
37	0.004	-0.019	-0.066	-0.038	-0.016	-0.081	-0.040	-0.045	-0.074	-0.047	-0.060	-0.047	-0.081	-0.064	-0.086	-0.056	-0.047	-0.099	-0.071	-0.040	-0.035	-0.043	-0.033	-0.039	-0.037	-0.045	-0.032	-0.031	-0.034	0.004	-0.018	0.078	0.039	-0.045	-0.039	-0.019	-0.049	-0.031	-0.037	-0.073	-0.029	-0.041	-0.040	-0.047	-0.030	-0.038	-0.023	-0.036	-0.030	-0.034	-0.071	-0.034
38	-0.001	0.019	0.014	0.009	-0.008	0.017	0.007	0.004	0.016	0.014	0.028	0.011	0.027	0.020	0.018	0.018	0.007	0.043	0.014	0.016	0.011	-0.002	-0.016	0.010	0.009	0.010	0.008	0.004	0.007	-0.002	0.022	-0.018	-0.007	0.006	0.010	0.025	0.011	0.006	0.008	0.020	-0.013	0.007	0.004	0.018	0.003	0.002	0.004	0.008	0.006	0.002	0.027	-0.001
39	-0.004	-0.010	-0.014	-0.002	-0.003	-0.007	-0.011	-0.017	-0.015	-0.018	-0.007	-0.014	-0.006	-0.018	-0.009	-0.017	-0.015	-0.025	-0.019	-0.010	-0.009	-0.018	0.004	-0.004	-0.002	-0.005	-0.006	-0.002	-0.001	-0.004	0.001	0.007	0.002	-0.041	-0.003	0.001	-0.014	-0.009	-0.003	-0.011	0.008	-0.010	-0.003	-0.001	-0.004	0.001	0.000	0.005	-0.004	-0.004	-0.006	0.002
40	0.002	-0.009	-0.004	-0.012	-0.012	-0.010	-0.013	-0.011	-0.011	-0.010	-0.017	-0.021	-0.020	-0.009	-0.035	-0.010	-0.013	-0.016	-0.038	-0.032	-0.033	-0.018	-0.023	-0.012	-0.011	-0.021	-0.021	-0.007	-0.005	0.003	-0.003	0.027	0.013	-0.049	-0.013	-0.004	-0.010	-0.016	-0.014	-0.021	-0.024	-0.016	-0.012	-0.011	-0.012	-0.019	-0.016	-0.016	-0.009	-0.007	-0.037	-0.023
41	-0.001	-0.015	-0.033	-0.005	-0.014	-0.025	-0.021	-0.019	-0.031	-0.018	-0.038	-0.012	-0.025	-0.014	-0.026	-0.012	-0.018	-0.036	-0.020	-0.012	-0.011	-0.013	-0.047	-0.011	-0.014	-0.021	-0.035	-0.018	-0.025	-0.001	-0.026	0.020	0.009	-0.026	-0.010	-0.027	-0.017	-0.039	-0.012	-0.029	-0.031	-0.013	-0.012	-0.016	-0.003	0.002	-0.003	-0.013	-0.005	-0.013	-0.016	-0.017
42	-0.001	0.009	0.041	0.015	0.025	0.043	0.031	0.025	0.043	0.022	0.039	0.035	0.042	0.045	0.064	0.022	0.028	0.053	0.031	0.019	0.021	0.021	0.021	0.018	0.018	0.025	0.034	0.020	0.022	-0.004	0.011	-0.034	-0.016	0.028	0.017	0.014	0.027	0.037	0.017	0.048	0.015	0.020	0.019	0.021	0.012	0.015	0.008	0.015	0.011	0.017	0.037	0.019
43	0.001	0.014	0.003	0.000	-0.003	-0.007	0.000	0.002	-0.005	-0.003	-0.012	0.002	-0.015	-0.011	-0.010	0.000	-0.002	-0.011	0.000	0.002	0.002	-0.007	0.003	-0.002	-0.001	-0.001	-0.014	-0.008	-0.007	0.001	0.020	0.004	0.002	0.000	-0.001	0.019	0.004	-0.014	-0.001	-0.010	0.005	-0.005	0.012	-0.006	-0.004	-0.013	-0.004	-0.002	0.000	-0.001	0.004	0.018
44	-0.001	0.002	0.019	0.007	0.015	0.025	0.012	0.015	0.012	0.011	0.022	0.007	0.031	0.022	0.020	0.013	0.010	0.033	0.007	0.003	0.003	0.005	0.013	0.009	0.007	0.014	0.016	0.007	0.006	0.001	-0.003	-0.013	-0.007	0.002	0.008	0.000	0.005	0.016	0.008	0.020	0.010	0.010	0.009	0.009	0.007	0.008	0.009	0.005	0.003	0.008	0.017	-0.001
45	-0.003	-0.013	0.004	0.002	-0.005	0.004	0.002	0.000	0.017	-0.001	-0.007	0.009	0.011	-0.007	0.017	0.002	0.003	-0.003	-0.008	-0.004	-0.003	-0.002	-0.007	0.000	0.002	0.003	0.012	0.001	0.002	-0.003	-0.023	-0.005	0.000	-0.005	0.000	-0.023	0.005	0.013	0.000	0.003	-0.003	0.012	-0.004	0.003	0.005	0.003	0.003	-0.001	0.002	0.002	0.009	0.002
46	0.003	-0.009	0.010	0.001	0.009	0.008	0.006	0.008	0.001	0.000	0.016	-0.003	0.004	0.020	0.004	0.004	0.002	0.016	0.016	0.002	0.002	0.005	-0.032	0.002	0.001	0.002	0.005	-0.002	-0.002	0.002	-0.017	0.000	-0.002	0.007	0.001	-0.015	0.004	0.005	0.003	0.010	-0.023	0.003	-0.001	0.000	0.005	0.006	0.001	0.011	0.000	-0.001	-0.001	-0.005
47	0.003	-0.008	-0.026	-0.017	-0.020	-0.035	-0.024	-0.025	-0.032	-0.022	-0.027	-0.020	-0.037	-0.034	-0.039	-0.029	-0.026	-0.042	-0.039	-0.010	-0.011	-0.019	-0.038	-0.019	-0.021	-0.026	-0.026	-0.032	-0.032	0.001	-0.008	0.037	0.021	-0.020	-0.019	-0.008	-0.025	-0.024	-0.018	-0.041	-0.035	-0.024	-0.013	-0.030	-0.017	-0.016	-0.019	-0.015	-0.016	-0.018	-0.035	-0.009
48	-0.001	0.002	0.004	0.005	-0.011	0.012	0.000	0.001	0.015	0.006	0.010	0.000	0.018	0.015	0.018	0.010	0.003	0.023	0.006	0.003	0.005	0.001	0.031	0.008	0.007	0.011	0.005	0.005	0.004	-0.001	0.003	-0.014	-0.010	0.009	0.007	0.004	0.004	0.005	0.005	0.019	0.025	0.006	0.011	0.002	0.004	0.009	0.002	0.005	0.004	-0.002	0.022	0.014
49	-0.001	-0.006	0.003	0.001	0.007	0.008	0.005	0.006	-0.004	0.003	0.012	0.004	0.004	0.006	0.001	0.003	0.005	0.002	0.024	0.001	0.000	0.003	0.014	0.001	0.005	0.007	0.008	0.010	0.019	0.000	-0.010	-0.005	0.000	0.010	0.001	-0.010	0.004	0.009	0.004	0.010	0.007	0.019	0.000	0.012	0.001	0.000	0.013	0.013	0.002	0.002	0.014	-0.003
50	0.000	0.002	0.003	-0.006	-0.002	-0.009	0.001	0.006	-0.010	0.005	-0.007	0.004	-0.013	-0.006	-0.012	0.005	0.004	-0.010	0.003	0.010	0.009	-0.009	-0.006	-0.003	-0.006	-0.006	-0.006	-0.010	-0.010	-0.004	-0.005	0.008	0.005	0.012	-0.007	-0.005	0.003	-0.011	-0.004	-0.009	-0.010	-0.009	-0.014	-0.008	0.001	-0.002	-0.008	-0.009	-0.003	-0.005	-0.009	-0.009
51	-0.001	0.005	0.012	0.010	0.010	0.023	0.015	0.014	0.025	0.012	0.018	0.010	0.026	0.021	0.021	0.016	0.016	0.032	0.013	0.002	0.003	0.009	0.006	0.012	0.013	0.011	0.010	0.010	0.005	-0.002	0.007	-0.023	-0.011	0.001	0.012	0.006	0.013	0.010	0.011	0.019	0.010	0.015	0.016	0.007	0.007	0.007	0.007	0.007	0.008	0.015	0.021	0.020
52	0.001	0.001	0.008	0.004	0.007	0.005	0.008	0.009	0.003	0.003	0.001	0.017	0.007	0.001	0.020	0.007	0.009	0.009	0.010	0.008	0.005	0.008	-0.004	0.005	0.007	0.008	0.003	0.009	0.009	0.003	-0.005	-0.012	-0.006	0.012	0.005	-0.005	0.011	0.004	0.007	0.009	-0.001	0.004	0.007	0.009	0.003	0.006	0.010	0.014	0.005	0.007	0.005	0.007
53	0.001	0.002	0.033	0.012	0.014	0.031	0.021	0.022	0.024	0.028	0.022	0.025	0.040	0.025	0.038	0.027	0.022	0.024	0.023	0.008	0.009	0.018	0.036	0.016	0.017	0.019	0.014	0.024	0.022	0.003	0.006	-0.030	-0.016	0.005	0.016	0.007	0.026	0.012	0.016	0.029	0.034	0.011	0.018	0.023	0.014	0.020	0.009	0.012	0.010	0.016	0.024	0.016
54	-0.002	0.016	-0.010	0.001	0.001	-0.004	-0.004	0.000	-0.004	-0.002	-0.013	-0.010	0.003	-0.020	-0.006	-0.006	-0.001	-0.013	-0.003	-0.001	0.000	0.002	-0.013	0.000	0.002	-0.001	-0.001	-0.008	-0.004	-0.003	0.029	-0.004	-0.001	0.005	-0.001	0.028	-0.006	0.001	0.001	-0.005	-0.012	-0.005	0.020	-0.006	0.002	-0.004	0.005	-0.001	0.004	-0.003	0.003	0.016
55	-0.001	0.000	-0.001	0.002	-0.001	0.006	0.002	0.004	-0.002	0.008	0.009	0.007	-0.001	0.000	0.005	0.006	0.006	0.009	-0.004	-0.009	-0.009	-0.001	-0.007	0.001	-0.004	0.000	-0.008	0.001	0.002	-0.003	0.008	-0.002	0.000	-0.020	0.001	0.008	0.005	0.001	0.002	0.002	0.001	0.004	0.005	0.001	0.006	-0.003	0.002	0.005	-0.005	0.001	0.004	0.004
56	-0.001	0.004	0.008	-0.003	-0.008	-0.003	0.000	-0.001	0.009	-0.001	-0.001	0.004	-0.003	-0.001	0.006	0.001	-0.001	0.001	0.008	0.011	0.011	-0.005	-0.020	-0.006	0.000	-0.003	-0.016	-0.004	-0.004	0.002	0.012	0.002	0.001	0.016	-0.001	0.012	0.002	-0.022	-0.006	-0.001	-0.015	0.007	0.007	-0.005	-0.008	0.001	-0.007	0.004	0.001	-0.005	0.011	0.007
